0,180,384.84
0,170,441.20
0,160,543.21
0,150,577.05
0,140,522.50
0,130,448.43
0,120,103.72
0,110,90.60
0,100,913.60
0,90,201.99
0,80,80.93
0,70,50.45
0,60,85.29
0,50,46.90
0,40,57.25
0,30,56.11
0,20,57.21
0,10,57.04
10,0,57.17
10,10,55.75
10,20,52.14
10,30,930.62
10,40,53.55
10,50,56.59
10,60,33.89
10,70,63.26
10,80,78.45
10,90,90.55
10,100,87.30
10,110,90.60
10,120,451.81
10,130,469.33
10,140,504.49
10,150,575.74
10,160,555.09
10,170,447.86
20,180,419.37
20,170,447.63
20,160,575.32
20,150,579.95
20,140,520.82
20,130,346.45
20,120,203.14
20,110,200.52
20,100,971.39
20,90,982.02
20,80,977.11
20,70,135.36
20,60,130.99
20,50,49.59
20,40,607.91
20,30,55.66
20,20,56.39
20,10,55.53
30,0,50.77
30,10,981.20
30,20,942.73
30,30,65.70
30,40,58.88
30,50,54.09
30,60,49.22
30,70,41.85
30,80,75.24
30,90,79.53
30,100,89.75
30,110,87.74
30,120,449.93
30,130,473.80
30,140,502.86
30,150,575.01
30,160,578.31
30,170,498.46
40,180,427.39
40,170,486.91
40,160,576.49
40,150,582.55
40,140,509.30
40,130,272.11
40,120,184.92
40,110,310.78
40,100,124.55
40,90,98.51
40,80,144.33
40,70,48.32
40,60,51.15
40,50,45.87
40,40,51.91
40,30,55.61
40,20,55.56
40,10,55.65
50,0,61.62
50,10,55.86
50,20,57.60
50,30,54.49
50,40,52.13
50,50,47.02
50,60,977.10
50,70,978.69
50,80,904.25
50,90,221.55
50,100,225.43
50,110,213.24
50,120,328.96
50,130,340.04
50,140,250.59
50,150,587.78
50,160,580.14
50,170,492.93
60,180,426.24
60,170,489.27
60,160,576.85
60,150,577.19
60,140,979.55
60,130,960.63
60,120,977.51
60,110,116.68
60,100,112.24
60,90,127.58
60,80,3.72
60,70,55.55
60,60,39.90
60,50,46.32
60,40,51.58
60,30,55.67
60,20,57.09
60,10,84.92
70,0,83.55
70,10,62.34
70,20,56.50
70,30,55.85
70,40,52.09
70,50,47.68
70,60,42.62
70,70,29.14
70,80,909.75
70,90,623.59
70,100,623.51
70,110,651.29
70,120,229.52
70,130,227.18
70,140,210.42
70,150,194.06
70,160,584.57
70,170,500.25
80,180,431.49
80,170,494.68
80,160,583.49
80,150,77.23
80,140,114.53
80,130,978.52
80,120,73.69
80,110,77.41
80,100,14.53
80,90,10.27
80,80,33.35
80,70,33.11
80,60,40.68
80,50,47.93
80,40,52.58
80,30,56.08
80,20,59.69
80,10,60.25
90,0,68.53
90,10,63.63
90,20,56.49
90,30,55.92
90,40,55.17
90,50,54.61
90,60,980.00
90,70,914.19
90,80,16.93
90,90,16.99
90,100,23.55
90,110,32.59
90,120,39.13
90,130,37.88
90,140,25.29
90,150,80.77
90,160,578.40
90,170,496.71
100,180,433.38
100,170,509.13
100,160,588.57
100,150,38.39
100,140,12.60
100,130,971.39
100,120,975.43
100,110,7.50
100,100,14.35
100,90,19.80
100,80,33.59
100,70,32.18
100,60,38.93
100,50,47.04
100,40,51.79
100,30,55.84
100,20,55.99
100,10,64.98
110,0,69.05
110,10,65.94
110,20,57.30
110,30,56.92
110,40,53.30
110,50,51.81
110,60,971.11
110,70,878.03
110,80,14.86
110,90,21.36
110,100,9.04
110,110,13.69
110,120,31.10
110,130,6.73
110,140,18.23
110,150,71.04
110,160,587.00
110,170,509.84
120,180,447.00
120,170,512.64
120,160,596.62
120,150,47.94
120,140,50.99
120,130,970.56
120,120,976.34
120,110,31.48
120,100,28.89
120,90,19.94
120,80,18.99
120,70,50.30
120,60,45.63
120,50,48.10
120,40,52.37
120,30,57.06
120,20,58.80
120,10,66.33
130,0,51.48
130,10,67.64
130,20,60.67
130,30,53.39
130,40,53.35
130,50,980.76
130,60,975.48
130,70,25.77
130,80,28.31
130,90,25.73
130,100,24.02
130,110,29.03
130,120,33.68
130,130,48.44
130,140,41.50
130,150,137.23
130,160,587.20
130,170,507.81
140,180,443.85
140,170,501.62
140,160,590.23
140,150,599.91
140,140,62.37
140,130,22.34
140,120,975.61
140,110,976.26
140,100,19.14
140,90,26.41
140,80,25.59
140,70,35.96
140,60,49.11
140,50,60.30
140,40,57.90
140,30,58.49
140,20,60.01
140,10,63.04
150,0,72.16
150,10,36.02
150,20,59.93
150,30,57.15
150,40,65.45
150,50,977.89
150,60,177.81
150,70,18.34
150,80,20.59
150,90,15.96
150,100,8.35
150,110,9.90
150,120,14.87
150,130,18.69
150,140,18.76
150,150,585.76
150,160,590.85
150,170,507.54
160,180,440.04
160,170,498.60
160,160,587.46
160,150,591.42
160,140,521.08
160,130,22.02
160,120,13.00
160,110,40.49
160,100,979.11
160,90,977.24
160,80,908.28
160,70,31.07
160,60,40.56
160,50,56.10
160,40,65.39
160,30,58.10
160,20,58.09
160,10,65.70
170,0,69.04
170,10,65.00
170,20,62.08
170,30,58.53
170,40,58.14
170,50,979.97
170,60,43.58
170,70,21.13
170,80,17.50
170,90,21.95
170,100,36.43
170,110,31.95
170,120,8.94
170,130,58.28
170,140,516.58
170,150,575.33
170,160,582.39
170,170,502.44
